comment_channel,createtime,ext1,ext2,ext3,ext4,ext5,id,img,keywords,level,media_name,media_type,old_level,title,url
sh,1529571504,,sh:comos-hefphqm0429468:0,,sh:comos-hefphqm0429468:0,"原标题：中科院一研究生
餐厅内遭高中同学刺死，嫌犯已被海淀警方刑拘",1-1-35861344,,"中科院,刑拘,高中",0,澎湃新闻,,2,研究生遭高中同学刺死 死者父亲:见过凶手 没礼貌,http://news.sina.com.cn/s/2018-06-21/doc-ihefphqm0429468.shtml
,1529571501,,sh:comos-hefphqm0429091:0,,sh:comos-hefphqm0429091:0,"原标题：被司法拘留11次仍不履行生效判决，宁波“老赖”被判一年半
“我们要向‘执行难’全面宣战，基本解决执行难。因此，要大大提高‘拒不执行判决、裁定罪’的使用频率。”6月21日，浙江省高级人民法院召开“打击拒不执行判决、裁定违法犯罪行为”新闻发布会，副院长崔盛钢在会上表示。",1-1-35861326,,"判决,老赖,宁波",0,澎湃新闻,,3,“老赖”被司法拘留11次仍不履行生效判决 被判刑,http://news.sina.com.cn/o/2018-06-21/doc-ihefphqm0429091.shtml
sh,1529571462,,sh:comos-hefphqm0425494:0,,sh:comos-hefphqm0425494:0,"人民网北京6月21日电？ ？ 日前，西北工业大学招生办副主任谢丹做客人民网“高校招生系列”访谈栏目，就学校2018年招生计划、专业特色等进行了详细介绍。
据介绍，西北工业大学隶属于工业和信息化部，是我国“一流大学”建设高校（A类），并且是唯一一所以同时发展航空、航天、航海人才培养和科学研究为…",1-1-35861323,,"西北工业大学,国际班,授课",0,人民网,,3,西北工业大学2018招3700人？国际班7专业全英文授课,http://news.sina.com.cn/s/2018-06-21/doc-ihefphqm0425494.shtml
sh,1529571462,,sh:comos-hefphqm0425434:0,,sh:comos-hefphqm0425434:0,人民网北京6月21日电 近日，2018国际产学研用合作会议在南昌和哈尔滨分两段召开。教育部副部长孙尧，江西省委书记、省长刘奇，黑龙江省副省长孙东生，以及白俄罗斯、俄罗斯和乌克兰等国家的代表分别出席会议并致辞。,1-1-35861322,,"白俄罗斯,产学研,协同创新",0,人民网,,3,2018国际产学研用合作会议召开,http://news.sina.com.cn/s/2018-06-21/doc-ihefphqm0425434.shtml
gn,1529570834,,sh:comos-hefphqm0350666:0,,sh:comos-hefphqm0350666:0,"原标题：男子携情人参加聚会后发生争吵 连撞16辆车泄愤被诉
正义网通辽6月21日电（通讯员 青格乐 徐鹏飞）男子携情人参加朋友聚会，饭后却因琐事与情人发生争吵，为泄愤驾车连撞16辆机动车。经认定，被撞16辆机动车（其中一辆机动车未做价格鉴定）损失价值为45万余元。近日，杨某因涉嫌以危险方…",1-1-35861275,,"情人,聚会,争吵",0,正义网,,2,男子携情人参加聚会发生争吵 连撞16辆车泄愤被诉,http://news.sina.com.cn/c/2018-06-21/doc-ihefphqm0350666.shtml
sh,1529570454,,sh:comos-hefphqm0304752:0,,sh:comos-hefphqm0304752:0,"来源：央视网
央视网消息：从灾区重建中捞“好处”，贪污百姓的“救命钱”，党纪国法绝不容忍。",1-1-35861239,,"私吞,杨红卫,张敏",0,央视网,,3,私吞儿童“生存钱” 当省长面斥责灾民“依靠政府” “蝇贪”危害猛于虎,http://news.sina.com.cn/s/2018-06-21/doc-ihefphqm0304752.shtml
sh,1529569983,,sh:comos-hefphqm0245914:0,,sh:comos-hefphqm0245914:0,"人民网北京6月21日电（孙竞） 由中国教育发展战略学会、中国教育技术协会指导，《中国远程教育》杂志社《在线学习》杂志、中国互联网教育领军会主办的2018（第三届）中国互联网教育大会日前在京举办。
教育部政策法规司原司长、国家督学、中国教育发展战略学会执行会长孙霄兵表示，新版《民办教育促进法…",1-1-35861188,,,0,人民网,,3,2018中国互联网教育大会：线上教育必须坚持正确方向,http://news.sina.com.cn/s/2018-06-21/doc-ihefphqm0245914.shtml
sh,1529569982,,sh:comos-hefphqm0245906:0,,sh:comos-hefphqm0245906:0,人民网北京6月21日电？ ？ 清华大学今日发布首批在线认证证书项目，包括公共管理认证证书项目及数据科学认证证书项目。认证证书将在学堂在线慕课平台证书频道上线。学习者可付费学习系列线上课程，在线完成作业，通过考试后将获得清华大学在线教育办公室及相关院系联合认定的证书。教师及助教团队将在学…,1-1-35861189,,,0,人民网,,3,清华大学发布首批在线认证证书项目？助力建设学习型社会,http://news.sina.com.cn/s/2018-06-21/doc-ihefphqm0245906.shtml
sh,1529569642,,sh:comos-hefphqm0202298:0,,sh:comos-hefphqm0202298:0,"原标题：男子占道经营被城管执法后持刀行凶致2死3伤，一审被判死刑
6月21日下午，江苏省无锡市中级人民法院一审公开宣判被告人张建国故意杀人一案，以故意杀人罪判处被告人张建国死刑，剥夺政治权利终身。",1-1-35861161,,"死刑,张建国,城管执法",0,澎湃新闻,,2,男子被城管执法后持刀行凶致2死3伤 一审被判死刑,http://news.sina.com.cn/s/2018-06-21/doc-ihefphqm0202298.shtml
sh,1529569227,,sh:comos-hefphqm0145486:0,,sh:comos-hefphqm0145486:0,"原标题：视频|手枪塞裤裆本想耍个酷 结果大哥一弯腰走火了
美国内华达州（Nevada）一名男子耍帅学电影的FBI警探一样，把枪放在隐密的裤档里，结果弯腰时却不慎扣到板机，子弹瞬间射穿他的鼠蹊部，痛得他双手紧握下体僵持了1秒，所幸送医救治后并无大碍。",1-1-35861524,,"手枪,下体,裤裆",0,看看新闻Knews,,2,男子将手枪塞裤裆耍帅 弯腰时走火痛到紧握下体,http://news.sina.com.cn/s/2018-06-21/doc-ihefphqm0145486.shtml
gn,1529569075,,sh:comos-hefphqm0123040:0,,sh:comos-hefphqm0123040:0,"原标题：自称公司老总要求财务转账 两男子诈骗企业资金100余万
正义网黄石6月21日电（通讯员 夏剑）近日，湖北省黄石市下陆区检察院批准逮捕一起电信网络诈骗企业资金的2名犯罪嫌疑人。",1-1-35861231,,"老总,诈骗,财务",0,正义网,,2,男子自称公司老总要求财务转账 诈骗100余万元,http://news.sina.com.cn/c/2018-06-21/doc-ihefphqm0123040.shtml
gn,1529569075,,sh:comos-hefphqm0122958:0,,sh:comos-hefphqm0122958:0,"原标题：女友从天而降 男子以为交上桃花运结果被骗走3万余元
正义网上海6月21日电（通讯员 马硕）面对从天而降的美女，男子以为自己交上了桃花运，对女友有求必应。岂料女友频繁编理由向他要钱。目前，犯罪嫌疑人蓝某涉嫌诈骗罪正被上海市青浦区检察院审查起诉中。",1-1-35861069,,"女友,桃花运,手镯",0,正义网,,2,女子主动加好友 男子以为走桃花运被骗走3万余元,http://news.sina.com.cn/c/2018-06-21/doc-ihefphqm0122958.shtml
sh,1529569060,,sh:comos-hefphqm0121341:0,,sh:comos-hefphqm0121341:0,"原标题：绵阳男子辱骂母亲，被父母兄弟联手“家法”杀害藏尸14年
“成都商报”微信公号6月21日消息，绵阳安州区一名男子，因好吃懒做、辱骂母亲，让家人极为愤怒，最终决定对他“实施家法”。",1-1-35861112,,"嫌疑人,家法,母亲",0,澎湃新闻,,2,男子辱骂母亲 被家人联手“家法”杀害藏尸14年,http://news.sina.com.cn/s/2018-06-21/doc-ihefphqm0121341.shtml
sh,1529569049,,sh:comos-hefphqm0119900:0,,sh:comos-hefphqm0119900:0,"原标题：父亲驾车突然一个急刹车后座女儿被铅笔戳伤眼睛
6月19日下午5点35分，正值下班高峰，一辆白色越野车突然刹停在汉口范湖路口，车门打开后，驾驶员从车上跳了下来，飞快地跑到江汉区交通大队汉警快骑机动队民警任禛面前哭了起来。",1-1-35861389,,"摩托车,铅笔,民警",0,楚天都市报,,2,男子一个急刹车 后座女儿被铅笔戳伤眼睛鲜血直流,http://news.sina.com.cn/s/2018-06-21/doc-ihefphqm0119900.shtml
sh,1529568692,,sh:comos-hefphqm0071185:0,,sh:comos-hefphqm0071185:0,"原标题：小学语文把“外婆”改成“姥姥”，以后咱们都要唱《姥姥的澎湖湾》？ | 沸腾
我们今天学习普通话，就是在学习各地的方言。学习普通话，课本中的方言不仅无害，而且有益。",1-1-35861048,,"姥姥的澎湖湾,姥姥,外婆,方言",0,新京报,,2,媒体:课本外婆改成姥姥 以后唱《姥姥的澎湖湾》?,http://news.sina.com.cn/s/2018-06-21/doc-ihefphqm0071185.shtml
